title,description,rating
The Shawshank Redemption,Two imprisoned men bond over years finding solace and eventual redemption through acts of common decency,9.3
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son,9.2
The Dark Knight,Batman must accept one of the greatest tests when the Joker unleashes chaos on Gotham,9.0
Pulp Fiction,The lives of two mob hitmen a boxer and others intertwine in tales of violence and redemption,8.9
Inception,A thief who steals corporate secrets through dream sharing technology is given a chance at redemption,8.8
The Matrix,A hacker learns the true nature of his reality and his role in the war against its controllers,8.7
Forrest Gump,The presidencies and events unfold from the perspective of an Alabama man with a low IQ,8.8
Interstellar,A team of explorers travel through a wormhole in space to ensure humanity survival,8.7
Fight Club,An insomniac office worker and a soap maker form an underground fight club,8.8
Goodfellas,The story of Henry Hill and his life in the mob covering his relationship with partners,8.7
The Room,A man discovers his fiancee is having an affair with his best friend,3.7
Cats,A tribe of cats decides which one will ascend to a new life across one magical night,2.8
Battlefield Earth,A race of tall aliens has enslaved the survivors of a fallen human civilization,2.5
Titanic,A seventeen year old aristocrat falls in love with a poor artist aboard the ill fated ship,7.9
Gladiator,A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family,8.5
